Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.956140350877193,0.9560729421281235,0.956140350877193,0.9560273762928302,0.9923941798941799
Decision Tree,0.9122807017543859,0.9136705399863294,0.9122807017543859,0.9126829520575104,0.9375
