Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.790625,0.7909980028195488,0.790625,0.7907419589568694,0.8908512892970681
Decision Tree,0.76875,0.7685184729064038,0.76875,0.7685135759506115,0.7667883354919738
