Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.8333333333333334,0.837962962962963,0.8333333333333334,0.8318250377073907,0.9453125
Decision Tree,0.7833333333333333,0.7831649831649832,0.7833333333333333,0.7830303030303031,0.7924107142857143
